year,unitid,instnm,carnegie,stabbr,addr,city,control,lat,lon,total
2016,102845,charter college,40,wa,"17200 s.e. mill plain blvd, ste, 100",vancouver,3,45.617798,-122.494766,0
2017,102845,charter college,40,wa,"17200 s.e. mill plain blvd, ste, 100",vancouver,3,45.617798,-122.494766,0
2018,102845,charter college,40,wa,"17200 s.e. mill plain blvd, ste, 100",vancouver,3,45.617798,-122.494766,0
2019,102845,charter college,40,wa,"17200 s.e. mill plain blvd, ste, 100",vancouver,3,45.617798,-122.494766,0
2020,102845,charter college,40,wa,"17200 s.e. mill plain blvd, ste, 100",vancouver,3,45.617798,-122.494766,0
2021,102845,charter college,40,wa,"17200 s.e. mill plain blvd, ste, 100",vancouver,3,45.617798,-122.494766,0
2022,102845,charter college,40,wa,"17200 s.e. mill plain blvd, ste, 100",vancouver,3,45.617798,-122.494766,0
2010,106245,university of arkansas at little rock,16,ar,2801 s university ave,little rock,1,34.72685,-92.341778,49
2011,106245,university of arkansas at little rock,16,ar,2801 s university ave,little rock,1,34.726644,-92.341835,72
2012,106245,university of arkansas at little rock,16,ar,2801 s university ave,little rock,1,34.726644,-92.341835,73
2013,106245,university of arkansas at little rock,16,ar,2801 s university ave,little rock,1,34.726644,-92.341835,89
2014,106245,university of arkansas at little rock,16,ar,2801 s university ave,little rock,1,34.726644,-92.341835,136
2015,106245,university of arkansas at little rock,16,ar,2801 s university ave,little rock,1,34.726644,-92.341835,140
2016,106245,university of arkansas at little rock,16,ar,2801 s university ave,little rock,1,34.726644,-92.341835,151
2017,106245,university of arkansas at little rock,16,ar,2801 s university ave,little rock,1,34.723254,-92.339778,183
2018,106245,university of arkansas at little rock,16,ar,2801 s university ave,little rock,1,34.723254,-92.339778,187
2019,106245,university of arkansas at little rock,16,ar,2801 s university ave,little rock,1,34.723254,-92.339778,185
2020,106245,university of arkansas at little rock,16,ar,2801 s university ave,little rock,1,34.723254,-92.339778,176
2021,106245,university of arkansas at little rock,16,ar,2801 s university ave,little rock,1,34.723254,-92.339778,203
2022,106245,university of arkansas at little rock,16,ar,2801 s university ave,little rock,1,34.723254,-92.339778,192
2023,106245,university of arkansas at little rock,16,ar,2801 s university ave,little rock,1,34.723254,-92.339778,153
2002,106263,university of arkansas for medical sciences,52,ar,4301 w markham slot 601,little rock,1,34.749011436826,-92.320103045702,116
2003,106263,university of arkansas for medical sciences,52,ar,4301 w markham slot 601,little rock,1,34.749011436826,-92.320103045702,108
2004,106263,university of arkansas for medical sciences,52,ar,4301 w markham slot 601,little rock,1,34.749011436826,-92.320103045702,135
2005,106263,university of arkansas for medical sciences,52,ar,4301 w markham slot 601,little rock,1,34.749011436826,-92.320103045702,149
2006,106263,university of arkansas for medical sciences,52,ar,4301 w markham slot 601,little rock,1,34.749011436826,-92.320103045702,156
2007,106263,university of arkansas for medical sciences,52,ar,4301 w markham,little rock,1,34.751534,-92.32103,125
2008,106263,university of arkansas for medical sciences,52,ar,4301 w markham,little rock,1,34.751534,-92.32103,137
2009,106263,university of arkansas for medical sciences,52,ar,4301 w markham,little rock,1,34.751534,-92.32103,138
2010,106263,university of arkansas for medical sciences,52,ar,4301 w markham,little rock,1,34.75153,-92.320992,167
2011,106263,university of arkansas for medical sciences,52,ar,4301 w markham,little rock,1,34.749718,-92.320945,157
2012,106263,university of arkansas for medical sciences,52,ar,4301 w markham,little rock,1,34.749718,-92.320945,186
2013,106263,university of arkansas for medical sciences,52,ar,4301 w markham,little rock,1,34.749718,-92.320945,130
2014,106263,university of arkansas for medical sciences,52,ar,4301 w markham,little rock,1,34.749718,-92.320945,135
2015,106263,university of arkansas for medical sciences,52,ar,4301 w markham,little rock,1,34.749718,-92.320945,148
